date,new_cases,new_deaths,cases_7d,deaths_7d,cases_7d_per_100k,naive_cfr,lagged_cfr_14
2023-11-09,0.0,0.0,933.7123287671233,7.654794520547945,0.006588555170783392,0.01185061330558189,0.00779771706064581
2023-11-10,0.0,0.0,933.7123287671233,7.654794520547945,0.006588555170783392,0.01185061330558189,0.00779771706064581
2023-11-11,0.0,0.0,933.7123287671233,7.654794520547945,0.006588555170783392,0.01185061330558189,0.00779771706064581
2023-11-12,72.0,1.0,933.9095890410958,7.657534246575342,0.006589947098637432,0.011850616566717308,0.007796308538561741
2023-11-13,0.0,0.0,918.0246575342466,7.572602739726028,0.00647785824172453,0.011850616566717308,0.007920247350127085
2023-11-14,0.0,0.0,918.0246575342466,7.572602739726028,0.00647785824172453,0.011850616566717308,0.007920247350127085
2023-11-15,0.0,0.0,918.0246575342466,7.572602739726028,0.00647785824172453,0.011850616566717308,0.007920247350127085
2023-11-16,0.0,0.0,918.0246575342466,7.572602739726028,0.00647785824172453,0.011850616566717308,0.007920247350127085
2023-11-17,0.0,0.0,918.0246575342466,7.572602739726028,0.00647785824172453,0.011850616566717308,0.007920247350127085
2023-11-18,0.0,0.0,918.0246575342466,7.572602739726028,0.00647785824172453,0.011850616566717308,0.007920247350127085
2023-11-19,119.0,0.0,918.3506849315069,7.572602739726028,0.006480158789149959,0.011850585229516966,0.007917093933856175
2023-11-20,0.0,0.0,911.1232876712329,7.454794520547945,0.006429160099164405,0.011850585229516966,0.007984037792872756
2023-11-21,0.0,0.0,911.1232876712329,7.454794520547945,0.006429160099164405,0.011850585229516966,0.007984037792872756
2023-11-22,0.0,0.0,911.1232876712329,7.454794520547945,0.006429160099164405,0.011850585229516966,0.007984037792872756
2023-11-23,0.0,0.0,911.1232876712329,7.454794520547945,0.006429160099164405,0.011850585229516966,0.007984037792872756
2023-11-24,0.0,0.0,911.1232876712329,7.454794520547945,0.006429160099164405,0.011850585229516966,0.007984037792872756
2023-11-25,0.0,0.0,911.1232876712329,7.454794520547945,0.006429160099164405,0.011850585229516966,0.007984037792872756
2023-11-26,189.0,3.0,911.641095890411,7.463013698630137,0.006432813909781262,0.011850602123063443,0.007991152233796942
2023-11-27,0.0,0.0,904.6630136986302,7.358904109589041,0.006383574461944565,0.011850602123063443,0.008016020102722045
2023-11-28,0.0,0.0,904.6630136986302,7.358904109589041,0.006383574461944565,0.011850602123063443,0.008016020102722045
2023-11-29,0.0,0.0,904.6630136986302,7.358904109589041,0.006383574461944565,0.011850602123063443,0.008016020102722045
2023-11-30,0.0,0.0,904.6630136986302,7.358904109589041,0.006383574461944565,0.011850602123063443,0.008016020102722045
2023-12-01,0.0,0.0,904.6630136986302,7.358904109589041,0.006383574461944565,0.011850602123063443,0.008016020102722045
2023-12-02,0.0,0.0,904.6630136986302,7.358904109589041,0.006383574461944565,0.011850602123063443,0.008016020102722045
2023-12-03,415.0,2.0,905.8,7.364383561643836,0.006391597379436607,0.0118505372817614,0.008019140925661847
2023-12-04,0.0,0.0,900.786301369863,7.32054794520548,0.006356219213146401,0.0118505372817614,0.008034640365648304
2023-12-05,0.0,0.0,900.786301369863,7.32054794520548,0.006356219213146401,0.0118505372817614,0.008034640365648304
